mot_cpf,mot_rg,mot_nome,mot_renach,mot_telefone,mot_status,mot_cep,mot_rua,mot_bairro
99449154832,67543562,Alexandra Howe,OO735208522,98388098601,1,56915281,50167 South Burundi Ave.,Canandaigua
29609272771,14900356,Alexis Baker,IX066111399,52728046757,0,17757902,31489 West Morocco Way,Marshfield
18204947187,90587192,Zoe Durham,OO384281400,78957062693,0,52774258,3563 South Spain St.,Marietta
93202812641,19848662,Doris Ramsey,GH276115876,10666599778,0,73825572,4855 North Enid Way,Spokane Valley
71364860246,90378217,Evan Terrell,PJ979172821,24916355357,1,61433085,21080  Elkhart Ct.,Gallup
78831044261,47271545,Brett Morrow,MK261219197,20955581986,1,63363515,80412 South Papua New Guinea Blvd.,Brownsville
47174352169,20143474,Jonah Norton,QA389084539,69098388830,0,59181581,67651  Cicero St.,Monterey Park
58538652221,63976910,Justina Salinas,JB366967321,36177796475,0,55975214,84058 South Bradbury Ln.,Torrington
17288578194,37822274,Odysseus Graham,XN145644963,8675805247,1,94183383,72454 West Bolivia Ave.,Arcadia
51895393293,48908212,Wyatt Schwartz,JC549733533,86248328982,0,63751926,338 West Prescott Ln.,La Palma
47899111992,84794475,Nasim Hayden,IM982231174,18275215236,0,17147514,65141 North Zimbabwe Ln.,Norton
23241178404,62067675,Byron Calhoun,EO191508461,85973292837,0,33456822,5161 West Fiji Ln.,Salem
34078499011,43720710,Juliet Perry,CV067476477,89209065949,1,8266417,82587 East Cuba Ln.,Greensboro
7893913819,29120760,Sonya Espinoza,NX951631479,44797623706,0,35174442,75645 North Bolivia St.,Lomita
24839466789,70065436,Kameko Knapp,LY532211923,8741591794,1,24434558,12947  Angola Way,Hazleton
23007934236,65769662,Rebekah Vaughn,XQ074872964,41043949721,1,23986853,98087 West Spain Ave.,Chester
26302751121,49654791,Jennifer Pena,ZL566024751,40158269552,0,75499454,83940 West Bosnia and Herzegovina Ct.,Costa Mesa
68926365985,56765728,Porter Wilder,FE595651423,19161027323,1,63648470,64059 West Svalbard and Jan Mayen Blvd.,Hoover
62921391035,22000071,Gisela Vance,WC484657568,19459705553,0,23752277,90237 West Columbia Way,Vancouver
17223475839,15267033,Calvin Mullen,VV264719800,72267866534,1,16575490,9615 South Senegal Way,Carson
63791560316,41752478,Colton Carroll,WI833427056,80582092701,1,41994407,74417 North Switzerland Ln.,Kingsport
95121687615,8859998,Malcolm Hyde,GG089118557,5346507979,0,53816196,18113 South Bouvet Island Ct.,Tallahassee
72275075900,57086181,Kaye Levy,HK221227436,35629902673,0,48467398,39143 North Fall River St.,Narragansett
38037869869,68401025,Amethyst Sloan,UG269528897,38230936092,1,96077786,82707 East Saint Helena Ln.,San Luis Obispo
55114567530,60282310,Yasir Osborn,NY594653643,30652778091,1,71935162,27659 South Bahamas Ave.,Citrus Heights
56085209126,98732979,Dustin Langley,TQ218255949,91001888273,1,70694647,40534 North Mauritania Ln.,Merced
6055576772,7980983,Isaiah Austin,XW892752705,62190882745,1,41007674,64277  Bay St. Louis St.,Valdosta
28534563808,8005464,Indira Huffman,VY809695968,31328098870,1,30409737,80205  Madagascar Ave.,Winooski
40054525050,8051992,Erica Chang,NJ072286579,80121914342,1,51061028,54807 West Durham Ct.,Beaumont
99974536647,84071131,Audrey Hunter,WP593849599,30212044572,0,56749460,63609 West Mauritania Ct.,Rancho Cordova
71665497210,10059742,Eugenia Parks,DP830815274,7025541138,1,82614802,97751 East Azerbaijan Way,Bethany
22621473837,73382433,Quail Perkins,GO649848834,93405418508,0,13903740,1742 South Bremerton St.,Jenks
12505632458,11388662,Guy Finch,AL798511119,80714944131,0,25509180,15982 East Bolivia Blvd.,Rutland
82681832157,63555530,Amena Farley,HG144433939,48602689331,1,34542141,26019 North Fullerton Ln.,Maywood
63586405440,51964394,Orson Benjamin,EW478823684,19256562940,1,54218217,73703 East Corvallis St.,Little Rock
15126129718,71549667,Leah Woodard,CZ605625674,60084342578,1,81715850,52827  American Samoa Way,Rockville
13573294272,64578000,Hilary Goodman,HC939456621,44171760537,1,42904823,78766 East Palau Blvd.,Green River
52389691970,76657696,Emery Fry,KP062810279,41086956567,0,65220626,56006 East Fulton Ct.,Sonoma
90962747541,38177317,Laith Dickerson,OA698116470,70279995864,1,70521345,67428 East Serbia and Montenegro Ln.,New Rochelle
43387483808,99714181,Petra Andrews,JK156483146,5334842824,1,35504525,48297 West Grand Rapids Ln.,Sacramento
54343114964,95039344,Zorita Whitfield,US784515083,20523339848,1,70821471,55232 South Holy See (Vatican City State) Ct.,South Portland
61677147186,39883505,Christen Harvey,ZJ092131476,95812847337,1,53196222,72116 East Malaysia St.,Cape Girardeau
47393890773,66768914,Iliana Santos,TS331737532,65084087733,0,27467019,12483 South Carson City Ave.,Ventura
73700873372,89600732,Hollee Jenkins,XR207923381,86707197448,1,36464630,99503 West Laramie St.,Oklahoma City
73593232367,55901210,Noelani Hammond,QK336728656,57111093961,1,69321550,37291 South Congo Ave.,Goose Creek
73319869343,23823142,Brody Gordon,UG355165926,97894181197,0,77336974,36048  Port Washington Ln.,Calumet City
9978446373,1190600,Laura Sandoval,XS835469310,13682405384,0,77861414,86116  Austria Blvd.,Rancho Cordova
69775614448,57232662,Oleg Baxter,BB044028387,66260295864,0,72352766,48453 North Bahamas Ave.,Sheboygan
43236545079,9913568,Rama Townsend,RN773483716,91368703573,0,24224817,72145 North Cruz Bay Ln.,Wisconsin Rapids
9125433143,85563727,Marsden Fuentes,WE833417774,29854389699,0,6780236,44635  American Samoa Ct.,Peekskill
17889544796,82836292,Carlos Roth,YY507793482,96653967586,0,46821035,5390  United States Minor Outlying Islands Way,Jersey City
1942006820,13152253,Harper Cooper,MG112253126,44150664470,0,37282699,59181 North Canada Ct.,Kearney
32401771412,76200354,Levi Fleming,DG571950726,73257009431,1,74437686,81042 North Seychelles Blvd.,South Bend
18368627130,57215731,Ulla Lester,DP703702622,26185962401,0,53609662,37399 East Djibouti Blvd.,McAlester
21045448601,80876817,Daniel Rowe,ME673943019,68937356962,0,72019938,55534  Uzbekistan Blvd.,Charleston
15474108472,57591881,Hu Hutchinson,SO698707530,78822821495,1,38036053,72407  Agawam Ln.,Aliso Viejo
24847590060,59705769,Bryar Schultz,CT862365389,5152111714,1,11959268,96305 South Bahrain Ln.,La Mirada
21079399200,31581612,Ursa Carrillo,HG108629199,44947283084,1,34270628,14474 West Cape Coral Ave.,Jacksonville
32344349133,12833259,Kibo Mercado,JL749868025,54263767379,0,82365541,66210 West Heard Island and Mcdonald Islands St.,Duarte
59453825697,10077152,Kellie Randolph,YL925321341,49107104790,1,61187898,94763  Hoboken St.,Corry
75044458955,69713309,Odette Jones,PJ949543690,96064034353,1,12316870,8674 East Somalia Ave.,Slidell
54552621852,67145902,Reuben Franks,UQ391123415,24266951675,0,83178929,83711 North China St.,Bandon
66677470209,70967028,Imelda Long,GX480334970,91458693730,1,88671426,35433  Berlin Blvd.,Tallahassee
28460993688,46750905,Jeremy Duffy,WI245536810,57949463616,1,2085059,91735 West Lynwood St.,Manchester
95928540304,55411903,Aiko Lowery,DA704774458,19574766440,0,82942798,72620 East Canada Ave.,Kennewick
33548234387,97561950,Thane Suarez,UG491850820,72398168641,0,33666651,6490 East Dominican Republic St.,Beaumont
72687842023,72605400,Bruno Callahan,SE833155634,55078324212,1,36478419,106 West Australia Way,Springfield
86802933729,1184671,Shoshana Vance,GD562313087,19906220209,1,20687475,49765 West Argentina Ln.,Orangeburg
50564983208,23725872,Lois Hines,WK649501462,68288244997,1,51388887,38596 East Belarus Blvd.,Ada
88132886636,45556944,Paul Kennedy,DQ319002008,87413510596,1,62895392,70366 East Equatorial Guinea Ave.,Princeton
64827749889,22755106,Kenyon Walter,YU518169010,7348151509,0,49756666,57509 South New Caledonia Blvd.,Reading
80668025333,92981645,Kasimir Price,SN626711353,87607844783,1,57653438,84681 South Dominican Republic Ave.,Albuquerque
10334035654,57486676,Cooper Harding,IT672726734,41659840169,0,26981216,27339 North Norway Ln.,Montpelier
68729438328,80644864,Magee Trujillo,SV430473739,44459424703,0,21706262,81908 West Laughlin St.,Huntsville
34806227151,66174329,Shelly Moody,MO175530935,56656770761,0,48559553,68907 South Bhutan St.,Jenks
47908727069,39395651,Susan Mccarty,MV120003148,37052449648,0,87760140,26195 East Congo Ave.,Providence
78255434654,39926524,Troy Salazar,JZ034228954,82080628084,1,37147185,40553 East Albania Ct.,Azusa
98508867492,86782171,Hilel Gregory,KH775007423,88489314923,0,82555789,32643 North Gibraltar Blvd.,Olean
82175968501,30966631,Jerome Phelps,PY814759650,23409114000,1,89964047,24041 South Billings Blvd.,Stanton
16440727751,47641822,Neville Deleon,RD277260753,1161073762,1,34936902,56563 South Australia St.,Danville
89418010213,61514738,Caleb Kirkland,NK937348069,22132972126,1,62258033,78116 South Bhutan Ln.,Detroit
94533901935,2397851,Matthew Mcbride,XV370740764,58465704426,1,93992769,90458 East Ethiopia Ave.,Schaumburg
83197695607,18771991,Cadman Haney,SQ367303947,48563925725,0,98373251,10379 East Montserrat Blvd.,Temecula
62141931889,18244836,Vielka Heath,BO206937410,64483585119,0,9521930,27779  Saint Pierre and Miquelon St.,Manhattan
31824482934,33405318,Tana Fields,NY269291234,30295369541,1,46829003,53043 South Somalia Ln.,Union City
58444517045,87312231,Patricia Mcclure,BH211107602,23516817273,1,55024201,36337 West Hoover Ln.,Anderson
50390149331,2448099,Gisela Hamilton,PB026060207,52536987470,0,99700565,31906 East Colombia Ct.,Kennewick
52515790385,21960113,Hammett Reid,ZH636011083,56216749167,1,37379252,30092 South Andorra Ct.,Waycross
82253215447,82559564,Talon Slater,EV061225094,3541632915,1,23426138,99214 North Japan Ct.,Great Falls
19122039257,54524363,Phoebe Santana,UK061526829,99183908472,1,32090399,92542 East East St. Louis Ct.,North Charleston
73848394185,82970527,Charlotte Crawford,UQ908758074,6282727702,0,19644002,33273  Slovakia Way,Ponce
90373125390,38601406,Chase Sellers,XN449319608,79063684048,0,68736657,99038 South Costa Rica St.,Corinth
54254384793,83792724,Althea Moran,PM778061603,99462978233,0,98693979,94803 North Bismarck Blvd.,Crown Point
30200516411,45750134,Brandon Delaney,QK648802607,96633409836,0,74225652,27511 East Venezuela Way,Plattsburgh
68051507382,59523206,Violet Griffith,LK065262287,96161717269,1,67914916,57263 South Svalbard and Jan Mayen Ct.,Greensburg
91422973398,64857072,Minerva Macias,II332053083,61299836892,0,76946736,27447  Mozambique Ln.,Farrell
48289972924,76759077,Uta Brown,BF895934484,50596045623,0,49816333,45466  Equatorial Guinea Blvd.,Roswell
7878857430,95273484,Shaeleigh Reese,CZ538923762,35432751014,1,47481574,46969 South Moorhead St.,Healdsburg
89209965828,19124118,Rebecca Sherman,OZ848645616,83881662112,1,13165553,85176  South Africa Way,McAllen
5110686712,38927323,Bruce Wilkinson,KD740923727,35674199757,1,85281321,67272 North Central African Republic Blvd.,Clarksburg
22300011213,41792536,Hedy Peterson,CF835839798,36770018438,0,70972310,81734  San Marino Ln.,Dover
19521246289,54259428,Dennis Terry,KM236531202,30936598533,1,37107850,96294 East Peru Way,Scottsbluff
29499011658,25619163,Francesca Rodriguez,MH733444510,94183030389,0,34920353,9074 West Dover Blvd.,Jenks
25904285483,35646024,Marny Ortega,EK396575546,96318545972,0,65482618,89882 South British Indian Ocean Territory Way,Medford
70171794828,54488601,Hyatt Ingram,MK484640735,5593584371,1,98134347,93805  Farmer City Ln.,Cruz Bay
86825454095,91428072,Ryan Frye,GM003664276,82769783758,1,71166196,57251 South Clarksville St.,Springfield
66259801764,95121185,Liberty Camacho,UI671315182,22626158913,0,78794215,66779  Gardena Way,Henderson
82121183065,20334179,Mufutau Rocha,RC993316921,86141527141,1,91545205,81909 East Chad St.,Independence
19044841173,81811292,Ariel Daniel,KQ099934377,26043203678,0,35466808,75257  Gambia Blvd.,Paterson
97783944132,52592135,Pamela Knight,WS796834273,17995319939,1,8720425,38913 South United States Ct.,Truth or Consequences
53412355666,42059500,Axel Brooks,EX105714372,80517513990,1,97913174,71670 South Greece Ct.,Laguna Beach
